iter	Logloss
242	0.1677962338
243	0.1674811363
244	0.1671353965
245	0.1668624253
246	0.1665715617
247	0.1662495518
248	0.1660109935
249	0.1656763592
250	0.165379718
251	0.165087483
252	0.1648728122
253	0.1645256933
254	0.164154137
255	0.1637556437
256	0.1634044407
257	0.163129865
258	0.1628909976
259	0.1625363539
260	0.162191217
261	0.1618238025
262	0.1616472844
263	0.1613706046
264	0.1611818814
265	0.1608417795
266	0.1605452818
267	0.1601174175
268	0.1596431605
269	0.1594619467
270	0.1591074892
271	0.1588169563
272	0.1584259615
273	0.158135631
274	0.157901487
275	0.1576196486
276	0.1573519552
277	0.1571470812
278	0.156775855
279	0.156469783
280	0.1561222806
281	0.1558193894
282	0.1555697392
283	0.1553403719
284	0.1549624224
285	0.1547669557
286	0.1544170977
287	0.1540409085
288	0.153805933
289	0.1535532811
290	0.1533860398
291	0.1531948396
292	0.152784515
293	0.1523987491
294	0.1521564573
295	0.1519330184
296	0.1517171599
297	0.1515011542
298	0.1512139434
299	0.1508248955
300	0.1506007925
301	0.1502164484
302	0.1499503292
303	0.1495811192
304	0.1494357016
305	0.1491491776
306	0.1488570044
307	0.1486190245
308	0.1483614383
309	0.1480505522
310	0.147713017
311	0.1474222981
312	0.147173486
313	0.1468812549
314	0.1465726963
315	0.1463029974
316	0.1460574562
317	0.1457248838
318	0.1454023122
319	0.1450778637
320	0.1448453348
321	0.1446217436
322	0.1443927335
323	0.1442317677
324	0.1441246816
325	0.14382673
326	0.1436511839
327	0.1434426029
328	0.1433049638
329	0.1431572824
330	0.1428389506
331	0.1426718696
332	0.1424031079
333	0.1421478004
334	0.1419726652
335	0.1418045903
336	0.1414633521
337	0.1411891376
338	0.1409749768
339	0.1406665545
340	0.1402692902
341	0.1400290747
342	0.139870288
343	0.1397585474
344	0.1394468707
345	0.1391483741
346	0.1390055366
347	0.1387705003
348	0.1384899289
349	0.1383042068
350	0.138067131
351	0.1377591079
352	0.1375173683
353	0.1372046605
354	0.1370092223
355	0.1368650313
356	0.1365722269
357	0.1363843408
358	0.1361755949
359	0.1358847564
360	0.1356976461
361	0.135574902
362	0.1352836343
363	0.1350076358
364	0.1347233908
365	0.1346296956
366	0.1343601905
367	0.133995499
368	0.1336397964
369	0.133391703
370	0.1330577426
371	0.1327817351
372	0.1325298989
373	0.1323636817
374	0.1320804565
375	0.1318527101
376	0.1316134075
377	0.131314151
378	0.1310953275
379	0.1308697181
380	0.1306183222
381	0.130359307
382	0.1301443539
383	0.1297922827
384	0.1296482123
385	0.1294540445
386	0.1291748417
387	0.1289138418
388	0.1286321304
389	0.1284769919
390	0.1281045453
391	0.1279465954
392	0.1277160898
393	0.1275359528
394	0.1272057099
395	0.1270075262
396	0.1267675891
397	0.1265921847
398	0.1263254661
399	0.1260511926
400	0.1257869781
401	0.1256186569
402	0.125392882
403	0.1251977386
404	0.1250109145
405	0.1248810617
406	0.1246409615
407	0.1243013139
408	0.12401783
409	0.1237071467
410	0.1235025398
411	0.1232231767
412	0.1230798851
413	0.1230108359
414	0.1227602473
415	0.1225871639
416	0.1223760086
417	0.1221414851
418	0.1218194541
419	0.1216587371
420	0.1214511135
421	0.1212428996
422	0.1210410835
423	0.1208476499
424	0.1207559889
425	0.1206409207
426	0.1203366306
427	0.1199869222
428	0.1197558521
429	0.1195333676
430	0.1192866412
431	0.119140119
432	0.1188852816
433	0.1186498503
434	0.1184325051
435	0.118185777
436	0.1180010372
437	0.1178413379
438	0.1176615139
439	0.1174572745
440	0.117344164
441	0.1171512289
442	0.1169264944
443	0.1167679344
444	0.1166249449
445	0.1164399141
446	0.1161069388
447	0.1159367108
448	0.1158551215
449	0.1156423768
450	0.1154574377
451	0.1153275838
452	0.1151693597
453	0.1149700765
454	0.1148288461
455	0.1146079346
456	0.1144362087
457	0.1143406136
458	0.114124332
459	0.1139703016
460	0.113838201
461	0.1136029329
462	0.1134151309
463	0.1131431234
464	0.1129185869
465	0.1127429175
466	0.1126204992
467	0.1124136721
468	0.1122233021
469	0.1119258204
470	0.1116505726
471	0.1114562948
472	0.1113211988
473	0.1110596961
474	0.1109568604
475	0.1107321455
476	0.1105583925
477	0.1103687759
478	0.1102085409
479	0.1100527031
480	0.1098175098
481	0.1096756834
482	0.1095801076
483	0.1094087272
484	0.1092350431
485	0.1090155567
486	0.1088788972
487	0.108687163
488	0.1085385625
489	0.1083273135
490	0.1082150395
491	0.1081097898
492	0.1078879725
493	0.1077022995
494	0.1075232045
495	0.1073617938
496	0.1072158291
497	0.1070273336
498	0.1067957866
499	0.1066626117
