iter	Logloss
0	0.6497623998
1	0.6122612258
2	0.5830275645
3	0.5552501648
4	0.5335073958
5	0.515031585
6	0.4984949307
7	0.4793452658
8	0.4688252083
9	0.4587576679
10	0.4499560664
11	0.4427265452
12	0.4363216759
13	0.4294846388
14	0.4198541971
15	0.4144504964
16	0.409935406
17	0.4033776296
18	0.3986088152
19	0.3941535945
20	0.3874824278
21	0.3820197459
22	0.3784384208
23	0.3753423519
24	0.370666449
25	0.3683738066
26	0.3635351791
27	0.3601437079
28	0.3579790021
29	0.35534665
30	0.3520830734
31	0.3497078503
32	0.3440249656
33	0.3405515213
34	0.3372947201
35	0.3349541507
36	0.3322377176
37	0.3300328471
38	0.3250031024
39	0.322955507
40	0.3197282644
41	0.318391467
42	0.3166421315
43	0.3146256619
44	0.3124020819
45	0.3112024071
46	0.3098547545
47	0.3087874514
48	0.3062797733
49	0.3050325362
50	0.3037390951
51	0.3026466423
52	0.2975142739
53	0.2964570297
54	0.2914776988
55	0.2857606662
56	0.284939397
57	0.2823098875
58	0.281268861
59	0.2796436703
60	0.2786689215
61	0.2750936767
62	0.2742113906
63	0.2731085932
64	0.272336603
65	0.2715880394
66	0.267525941
67	0.2662515922
68	0.2654950994
69	0.264858295
70	0.2640285304
71	0.2623986477
72	0.2607598947
73	0.2599671419
74	0.2577297455
75	0.256234393
76	0.2548480087
77	0.2539064443
78	0.2533536596
79	0.2526132936
80	0.2517113952
81	0.250932541
82	0.2500461576
83	0.2493435503
84	0.2488163716
85	0.2483505856
86	0.2476850776
87	0.2468916991
88	0.2460922173
89	0.2454942178
90	0.2448034578
91	0.2438939881
92	0.2433228208
93	0.2427991381
94	0.2421164957
95	0.2416403338
96	0.2407724682
97	0.2399157591
98	0.2394923798
99	0.2382962283
100	0.237986155
101	0.237280472
102	0.2368563462
103	0.2362767637
104	0.2356235036
105	0.234988559
106	0.2339662409
107	0.2335453563
108	0.2324919726
109	0.2319269977
110	0.230115957
111	0.2297672979
112	0.2292430347
113	0.2279285159
114	0.227485893
115	0.2267010528
116	0.2252278834
117	0.2247387862
118	0.2240603721
119	0.2231600043
120	0.2228030054
121	0.2223267472
122	0.2218195472
123	0.2214241412
124	0.2209278246
125	0.2205267348
126	0.2201690679
127	0.2184951196
128	0.2174421032
129	0.2166134981
130	0.2160408183
131	0.2158521782
132	0.2152151276
133	0.2149790087
134	0.2145259794
135	0.2138593534
136	0.2131834087
137	0.2128155318
138	0.2123438199
139	0.2119692024
140	0.211593176
141	0.2111522007
142	0.210616422
143	0.210036134
144	0.2093778654
145	0.2084599319
146	0.2077351584
147	0.2070548527
148	0.2067310056
149	0.2063668647
150	0.2059270567
151	0.2055301554
152	0.2051450922
153	0.2048368688
154	0.2043599552
155	0.2038704721
156	0.2030992883
157	0.2022660963
158	0.2018974846
159	0.2012266345
160	0.2007367363
161	0.2002335148
162	0.1997320871
163	0.1991968207
164	0.1988743435
165	0.1981353821
166	0.1975740269
167	0.1970820695
168	0.1966650906
169	0.1961392693
170	0.1956328211
171	0.1952830636
172	0.194851653
173	0.1946918819
174	0.1942489351
175	0.1939800875
176	0.1936229486
177	0.1931973697
178	0.1928266507
179	0.1924413875
180	0.1921363306
181	0.1919732435
182	0.1915155041
183	0.1910083757
184	0.190570694
185	0.1901836728
186	0.1897974156
187	0.1892948233
188	0.1889669297
189	0.1884259751
190	0.1880611377
191	0.1877843066
192	0.1874107043
193	0.1869170569
194	0.1864226114
195	0.1856708747
196	0.185146219
197	0.1846146022
198	0.1842331428
199	0.1837039195
200	0.1832518347
201	0.1828165514
202	0.1823839434
203	0.1820103206
204	0.1815793048
205	0.1812178745
206	0.1809541458
207	0.1804775102
208	0.1801263846
209	0.1795007888
210	0.1790740668
211	0.1785539137
212	0.1781397945
213	0.1777813455
214	0.1774776613
215	0.176895951
216	0.1763806156
217	0.1759702967
218	0.1757014976
219	0.1753197904
220	0.1748581672
221	0.1744830431
222	0.1741610146
223	0.173829052
224	0.1735368076
225	0.1732839445
226	0.1728142244
227	0.1725191466
228	0.1721040863
229	0.1717186438
230	0.1714048416
231	0.1711816582
232	0.1707488899
233	0.1705804799
234	0.170201212
235	0.1698186678
236	0.1696208716
237	0.1693011095
238	0.1688200292
239	0.1685472204
240	0.1682735079
241	0.1680115937
